id,name,2014,2015a,2015,2016,2017,2018
1211-2,2 ΤΑΚΤΙΚΕΣ ΔΑΠΑΝΕΣ -  CURRENT EXPENDITURE,4847281.0,4981941.0,4697080.0,4755190.0,4886698.0,5028628.0
1211-3,3 ΑΝΑΠΤΥΞΙΑΚΕΣ ΔΑΠΑΝΕΣ -  DEVELOPMENT EXPENDITURE,1505803.0,1636677.0,1386070.0,1527918.0,894389.0,1009965.0
1212,TMHMA AΛIEIAΣ KAI ΘAΛAΣΣIΩN EPEYNΩN -  DEPARTMENT OF FISHERIES AND MARINE  RESEARCH,5478870.0,4651937.0,5375899.0,4789843.0,4918414.0,5056956.0
1212-2,2 ΤΑΚΤΙΚΕΣ ΔΑΠΑΝΕΣ -  CURRENT EXPENDITURE,3083752.0,3559719.0,2964693.0,3741397.0,3807084.0,3929626.0
1212-3,3 ΑΝΑΠΤΥΞΙΑΚΕΣ ΔΑΠΑΝΕΣ -  DEVELOPMENT EXPENDITURE,2395119.0,1092218.0,2411206.0,1048446.0,1111330.0,1127330.0
1213,ΤΜΗΜΑ ΠΕΡΙΒΑΛΛΟΝΤΟΣ -  DEPARTMENT OF ENVIRONMENT,2922531.0,2940939.0,2635658.0,3011424.0,3077337.0,3107422.0
1213-2,2 ΤΑΚΤΙΚΕΣ ΔΑΠΑΝΕΣ -  CURRENT EXPENDITURE,2009492.0,1921618.0,1898662.0,2405987.0,2392257.0,2467342.0
1213-3,3 ΑΝΑΠΤΥΞΙΑΚΕΣ ΔΑΠΑΝΕΣ -  DEVELOPMENT EXPENDITURE,913039.0,1019321.0,736996.0,605437.0,685080.0,640080.0
13,YΠOYPΓEIO ΔIKAIOΣYNHΣ KAI ΔHMOΣIAΣ TAΞEΩΣ -  MINISTRY OF JUSTICE AND PUBLIC ORDER,2.42179411E8,2.68292066E8,2.44866088E8,2.78251691E8,2.78080574E8,2.78031822E8
1301,"YΠOYPΓEIO ΔIKAIOΣYNHΣ KAI ΔHMOΣIAΣ TAΞEΩΣ,  ΔΙΟΙΚΗΣΗ - MINISTRY OF JUSTICE AND PUBLIC ORDER,  ADMINISTRATION",2671394.0,3161446.0,2279464.0,3571047.0,3482443.0,3426762.0
1301-2,2 ΤΑΚΤΙΚΕΣ ΔΑΠΑΝΕΣ -  CURRENT EXPENDITURE,2565514.0,2914869.0,2212027.0,3072007.0,3262363.0,3306672.0
1301-3,3 ΑΝΑΠΤΥΞΙΑΚΕΣ ΔΑΠΑΝΕΣ -  DEVELOPMENT EXPENDITURE,105880.0,246577.0,67437.0,499040.0,220080.0,120090.0
1302,ΦYΛAKEΣ -  PRISONS,1.5279577E7,1.8233436E7,1.4500848E7,2.0699793E7,1.7354168E7,1.6589273E7
1302-2,2 ΤΑΚΤΙΚΕΣ ΔΑΠΑΝΕΣ -  CURRENT EXPENDITURE,1.3759351E7,1.5683416E7,1.4182618E7,1.5744773E7,1.5964148E7,1.6199253E7
